Date_Published,Locality,Type_of_Property,Price
May,SLIEMA,townhouse,615000
May,SLIEMA,penthouse,180000
May,SLIEMA,apartment,550000
May,SLIEMA,apartment,
May,SLIEMA,apartment,250000
May,SLIEMA,,260000
May,SLIEMA,maisonette,295000
May,SLIEMA,apartment,700000
May,SLIEMA,,490000
May,SLIEMA,apartment,465000
May,SLIEMA,apartment,
May,SLIEMA,apartment,490000
May,SLIEMA,apartment,200000
May,SLIEMA,apartment,295000
May,SLIEMA,apartment,425000
May,SLIEMA,townhouse,745000
May,SLIEMA,maisonette,230000
May,SLIEMA,Townhouse,375000
May,SLIEMA,apartment,220000
May,SLIEMA,apartment,350000
May,SLIEMA,apartment,190000
May,SLIEMA,penthouse,415000
May,SLIEMA,apartment,317000
May,ST JULIANS,apartment,165000
May,ST JULIANS,Maisonette,356000
May,ST JULIANS,townhouse,375000
May,ST JULIANS,,21000
May,ST JULIANS,apartment,185000
May,ST JULIANS,apartment,222000
May,ST JULIANS,apartment,235000
May,ST JULIANS,apartment,350000
May,ST JULIANS,apartments,
May,ST JULIANS,apartment,260000
May,ST JULIANS,apartment,148000
May,ST JULIANS,penthouse,350000
May,ST JULIANS,apartment,239000
May,ST JULIANS,penthouse,345000
May,ST JULIANS,apartment,331000
May,ST JULIANS,apartment,168000
May,ST JULIANS,apartment,355000
May,ST JULIANS,apartment,350000
May,ST JULIANS,apartment,320000
May,ST JULIANS,apartment,325000
May,ST JULIANS,apartment,170000
May,ST JULIANS,apartment,205000
May,ST JULIANS,,205000
May,ST JULIANS,apartment,164000
May,ST JULIANS,penthouse,240000
May,ST JULIANS,apartment,175000
May,ST JULIANS,villa,695000
May,ST JULIANS,penthouse,325000
May,ST PAUL,penthouse,345000
May,ST PAUL,apartment,115000
May,ST PAUL,penthouse,290000
May,ST PAUL,apartment,135000
May,ST PAUL,apartment,135000
May,ST PAUL,apartment,80000
May,ST PAUL,apartment,130000
May,ST PAUL,apartments,90000
May,ST PAUL,apartment,127000
May,ST PAUL,apartment,115000
May,ST PAUL,apartment,75000
May,ST VENERA,apartment,115000
May,ST VENERA,house,190000
May,ST VENERA,maisonette,128000
May,ST VENERA,Townhouse,139000
May,ST VENERA,townhouse,220000
May,SWATAR,maisonette,170000
May,SWATAR,apartment,650
May,SWATAR,apartment,144000
May,SWIEQI,apartment,190000
May,SWIEQI,apartment,140000
May,SWIEQI,house,400000
May,SWIEQI,apartment,215000
May,SWIEQI,,190000
May,SWIEQI,house,350000
May,SWIEQI,apartment,156000
May,SWIEQI,maisonette,239000
May,SWIEQI,apartment,300000
May,SWIEQI,maisonette,350000
May,SWIEQI,flat,190000
May,SWIEQI,house,400000
May,SWIEQI,apartment,240000
May,SWIEQI,maisonette,425000
May,TA,apartment,170000
May,TA,apartment,165000
May,TA,apartment,295000
May,TA,apartment,
May,TAL IBRAĠ,apartment,210000
May,TAL IBRAĠ,maisonette,94500
May,TAL IBRAĠ,maisonette,343000
May,TAL IBRAĠ,villa,565000
May,TAL IBRAĠ,villa,565000
May,TAL IBRAĠ,villa,575000
May,TAL IBRAĠ,apartment,350000
May,TAL IBRAĠ,maisonette,320000
May,TARXIEN,maisonette,108000
May,TARXIEN,maisonette,190000
May,TARXIEN,penthouse,95500
May,TARXIEN,house,198000
May,TARXIEN,maisonette,170000
May,THE,villa,695000
May,THE,villa,695000
May,THE,maisonette,320000
May,TIGNÉ,apartment,
May,TIGNÉ,,600000
May,TIGNÉ,,
May,VALLETTA,townhouse,660000
May,VALLETTA,apartment,440000
May,VALLETTA,,
May,VALLETTA,house,480000
May,VALLETTA,maisonette,130000
May,VALLETTA,apartments,350000
May,VALLETTA,,380000
May,VICTORIA,bungalow,
May,VICTORIA,bungalow,1450000
May,VITTORIOSA,apartment,335000
May,XEMXIJA,apartments,99000
May,XEMXIJA,penthouse,227000
May,XEMXIJA,apartment,360000
May,XEMXIJA,apartments,
May,XEMXIJA,apartment,279000
May,XEMXIJA,apartment,360000
May,XEMXIJA,,280000
May,XEMXIJA,maisonette,245000
May,XEMXIJA,,195000
May,XEMXIJA,maisonette,185000
May,XEMXIJA,apartment,525000
May,XGĦAJRA,townhouse,65000
May,ŻABBAR,maisonette,225000
May,ŻABBAR,apartment,89000
May,ŻABBAR,house,267000
May,ŻABBAR,apartment,130000
May,ŻABBAR,Plot,166000
May,ŻEBBUĠ,maisonette,230000
May,ŻEBBUĠ,apartment,139000
May,ŻEBBUĠ,apartment,155000
May,ŻEBBUĠ,character,365000
May,ŻEBBUĠ,maisonette,216600
May,ŻEBBUĠ,house,380000
May,ŻEBBUĠ,house,350000
May,ŻEBBUĠ,penthouse,136500
May,ŻEBBUĠ,villa,650000
May,ŻEBBUĠ,house,260000
May,ŻEBBUĠ,apartment,114000
May,ŻEJTUN,apartment,122000
May,ŻEJTUN,Penthouse,100000
May,ŻURRIEQ,flat,110000
May,ŻURRIEQ,apartment,138000
May,ŻURRIEQ,Maisonette,160000
May,ŻURRIEQ,penthouse,152000
May,ŻURRIEQ,character,245000
May,ŻURRIEQ,character,170000
May,GOZO KERĊEM,farmhouse,300000
May,GOZO SANNAT,maisonettes,74500
May,MELLIEĦA,house,250000
May,MOSTA,Bungalow,500000
May,MOSTA,maisonette,180000
May,MSIDA,Apartment,100000
May,NAXXAR,Apartment,140000
May,PORTOMASO,apartment,800000
May,SAN ĠWANN,apartment,155000
May,SLIEMA,penthouse,
May,ST JULIANS,maisonette,175000
May,GOZO MARSALFORN,apartment,169000
May,GOZO MĠARR,maisonette,395000
May,GOZO QALA,apartment,86000
May,GOZO SANNAT,apartment,140000
May,GOZO VICTORIA,maisonette,198000
May,GOZO XEWKIJA,character,125000
May,SIĠĠIEWI,House,
May,GOZO XAGĦRA,character,170000
May,KAPPARA,villa,620000
May,MARSASCALA,apartment,174000
May,TA,villa,850000
May,GOZO GĦARB,character,475000
May,GOZO GĦARB,apartment,235000
May,GOZO MARSALFORN,apartment,70000
May,GOZO MARSALFORN,apartment,127000
May,GŻIRA,plot,365000
May,MOSTA,house,350000
May,MSIDA,apartment,85000
May,QAWRA,penthouse,175000
May,SLIEMA,apartment,319000
May,SLIEMA,apartment,490000
May,ST JULIANS,villa,510000
May,ST JULIANS,apartment,320000
May,XEMXIJA,penthouse,270000
May,ŻEBBUĠ,character,1750000
May,ŻURRIEQ,house,310000
May,GOZO MARSALFORN,apartment,85000
May,QAWRA,penthouse,122000
May,SLIEMA,apartment,199950
May,BUNGALOW,BUNGALOW,550000
May,ST PAUL,penthouse,200000
May,ATTARD,Apartment,163000
May,ATTARD,villa,1350000
May,ATTARD,plot,450000
May,ATTARD,character,320000
May,ATTARD,villa,750000
May,ATTARD,penthouse,200000
May,ATTARD,apartment,170000
May,ATTARD,apartment,169000
May,ATTARD,apartment,139000
May,ATTARD,maisonette,234000
May,ATTARD,apartments,154000
May,ATTARD,maisonette,220000
May,ATTARD,house,
May,ATTARD,apartment,140000
May,ATTARD,Maisonette,135700
May,ATTARD,maisonette,267000
May,ATTARD,maisonette,125000
May,ATTARD,maisonette,265000
May,ATTARD,house,336000
May,ATTARD,maisonette,
May,ATTARD,,137000
May,ATTARD,apartment,142000
May,ATTARD,,38000
May,BAĦAR IĊ-ĊAGĦAQ,apartment,235000
May,BAĦAR IĊ-ĊAGĦAQ,penthouse,239000
May,BAĦRIJA,penthouse,350000
May,BAĦRIJA,penthouse,420000
May,BAĦRIJA,maisonette,123500
May,BALZAN,Apartments,
May,BALZAN,maisonette,222100
May,BALZAN,apartment,155000
May,BALZAN,townhouse,495000
May,BALZAN,,
May,BALZAN,character,270000
May,BALZAN,apartments,127000
May,BALZAN,maisonette,120000
May,BIRGUMA,apartment,180000
May,BIRKIRKARA,store,165000
May,BIRKIRKARA,apartment,128000
May,BIRKIRKARA,apartment,119000
May,BIRKIRKARA,Apartment,170000
May,BIRKIRKARA,apartments,100000
May,BIRKIRKARA,townhouse,200000
May,BIRKIRKARA,character,325000
May,BIRKIRKARA,character,325000
May,BIRKIRKARA,apartment,95000
May,BIRKIRKARA,character,325000
May,BIRKIRKARA,penthouse,93000
May,BIRKIRKARA,apartments,145000
May,BIRKIRKARA,maisonette,105000
May,BIRKIRKARA,apartment,130000
May,BIRKIRKARA,apartment,112000
May,BIRKIRKARA,penthouse,108000
May,BIRŻEBBUĠA,maisonette,150000
May,BIRŻEBBUĠA,,
May,BIRŻEBBUĠA,apartment,97500
May,BIRŻEBBUĠA,house,210000
May,BIRŻEBBUĠA,house,150000
May,BIRŻEBBUĠA,apartment,105000
May,BUĠIBBA,penthouse,175000
May,BUĠIBBA,apartment,135000
May,BUĠIBBA,apartment,98000
May,BUĠIBBA,,350000
May,BUĠIBBA,apartment,82000
May,BULEBEL,villa,
May,BURMARRAD,penthouse,120000
May,BURMARRAD,flat,110000
May,COSPICUA,maisonette,32000
May,COSPICUA,Maisonette,75000
May,COSPICUA,character,185000
May,DINGLI,penthouse,215000
May,DINGLI,apartment,160000
May,DINGLI,Apartment,143000
May,DINGLI,maisonette,248000
May,DINGLI,house,190000
May,DINGLI,apartment,120000
May,DINGLI,townhouse,349000
May,DINGLI,Maisonette,143100
May,DINGLI,penthouse,136000
May,DINGLI,farmhouse,
May,FGURA,penthouse,120000
May,FGURA,penthouse,151000
May,FGURA,Apartment,90000
May,FGURA,apartment,90000
May,FGURA,maisonette,105000
May,FGURA,apartment,90000
May,FGURA,Maisonette,160000
May,FGURA,Maisonette,110000
May,FGURA,apartments,100000
May,FGURA,flat,108000
May,FGURA,apartment,116000
May,FGURA,apartment,88000
May,FLEUR,penthouse,193000
May,FLEUR,Penthouse,97000
May,FLEUR,maisonette,163000
May,FORT,apartment,599000
May,GĦARGĦUR,apartment,145000
May,GĦARGĦUR,character,360000
May,GĦARGĦUR,penthouse,
May,GOZO GHAJNSIELEM,Terraced,183000private
May,GOZO GĦAJNSIELEM,,92000
May,GOZO GĦAJNSIELEM,Plot,210000
May,GOZO GĦARB,house,390000
May,GOZO MARSALFORN,apartment,115000
May,GOZO MARSALFORN,,95000
May,GOZO MARSALFORN,flat,130000
May,GOZO MUNXAR,house,395000
May,GOZO NADUR,house,153000
May,GOZO NADUR,Penthouse,83000
May,GOZO QALA,penthouse,133000
May,GOZO QALA,Maisonette,125000
May,GOZO QALA,maisonette,105000
May,GOZO QALA,flat,90000
May,GOZO SANNAT,penthouse,110000
May,GOZO VICTORIA,apartment,203000
May,GOZO VICTORIA,penthouse,150000
May,GOZO XAGĦRA,apartment,195000
May,GOZO XLENDI,Maisonette,65000
May,GOZO ŻEBBUĠ,townhouse,235000
May,GOZO ŻEBBUĠ,apartments,
May,GOZO ŻEBBUĠ,apartment,105000
May,GOZO Shell,penthouse,100000
May,GUARDAMANGIA,apartment,106000
May,GUARDAMANGIA,apartment,101000
May,GUARDAMANGIA,house,200000
May,GUDJA,apartments,88000
May,GŻIRA,apartment,169000
May,GŻIRA,apartment,154000
May,GŻIRA,apartment,750000
May,GŻIRA,apartment,
May,GŻIRA,apartment,225000
May,GŻIRA,apartment,191000
May,GŻIRA,apartment,145000
May,GŻIRA,apartment,120000
May,GŻIRA,apartment,271500
May,ĦAMRUN,maisonette,
May,ĦAMRUN,townhouse,180000
May,HIGH,villa,760000
May,IKLIN,bungalow,1900000
May,IKLIN,villa,690000
May,IKLIN,bungalow,525000
May,IKLIN,apartment,149000
May,IKLIN,maisonette,205000
May,IKLIN,clinic,40000
May,KAPPARA,plot,1450000
May,KAPPARA,villa,695000
May,KIRKOP,maisonette,115000
May,KIRKOP,house,200000
May,KIRKOP,house,238000
May,LIJA,villa,950000
May,LIJA,bungalow,1150000
May,LIJA,villa,900000
May,LIJA,townhouse,
May,LUQA,townhouse,250000
May,LUQA,maisonette,140000
May,LUQA,apartment,124000
May,LUQA,Penthouse,85000
May,MADLIENA,maisonette,340000
May,MADLIENA,plot,593990
May,MADLIENA,apartment,548000
May,MADLIENA,,908000
May,MANIKATA,,168000
May,MANIKATA,house,320000
May,MARSA,,215000
May,MARSASCALA,apartment,109000
May,MARSASCALA,apartment,385000
May,MARSASCALA,,186000
May,MARSASCALA,maisonette,225000
May,MARSASCALA,apartment,119000
May,MARSASCALA,apartment,240000
May,MARSASCALA,penthouse,150000
May,MARSASCALA,Farmhouse,550000
May,MARSASCALA,apartment,78000
May,MARSASCALA,apartment,135000
May,MARSASCALA,apartment,94000
May,MARSASCALA,apartment,85000
May,MARSASCALA,apartment,70000
May,MARSASCALA,maisonette,115500
May,MARSASCALA,character,550000
May,MARSASCALA,apartment,
May,MARSASCALA,penthouse,210000
May,MARSASCALA,penthouse,30000
May,MARSASCALA,Maisonette,150000
May,MARSASCALA,penthouse,146000
May,MARSASCALA,Penthouse,250000
May,MARSASCALA,maisonette,168000
May,MARSASCALA,apartments,
May,MARSASCALA,penthouse,160000
May,MARSASCALA,maisonette,175000
May,MARSASCALA,,
May,MARSASCALA,apartment,126500
May,MARSAXLOKK,house,260000
May,MARSAXLOKK,house,330000
May,MELLIEĦA,apartment,72000
May,MELLIEĦA,penthouse,260000
May,MELLIEĦA,villa,1100000
May,MELLIEĦA,Apartment,185000
May,MELLIEĦA,apartment,295000
May,MELLIEĦA,maisonette,235000
May,MELLIEĦA,bungalow,1300000
May,MELLIEĦA,Maisonette,167500
May,MELLIEĦA,Penthouse,317000
May,MELLIEĦA,apartments,350000
May,MELLIEĦA,penthouse,350000
May,MELLIEĦA,,860000
May,MELLIEĦA,apartment,148000
May,MELLIEĦA,maisonette,213000
May,MELLIEĦA,house,250000
May,MELLIEĦA,house,
May,MELLIEĦA,house,395000
May,MELLIEĦA,apartment,148
May,MELLIEĦA,maisonette,230000
May,MELLIEĦA,,235000
May,MELLIEĦA,apartment,122000
May,MELLIEĦA,apartment,220000
May,MĠARR,maisonette,223000
May,MĠARR,maisonette,170000
May,MĠARR,maisonette,200000
May,MĠARR,apartment,171500
May,MĠARR,maisonette,195000
May,MOSTA,maisonette,160000
May,MOSTA,plot,217000
May,MOSTA,Bungalow,510000
May,MOSTA,house,375000
May,MOSTA,house,
May,MOSTA,character,265000
May,MOSTA,character,399000
May,MOSTA,maisonette,215000
May,MOSTA,apartment,134000
May,MOSTA,house,339000
May,MOSTA,townhouse,340000
May,MOSTA,flat,128000
May,MOSTA,house,330000
May,MOSTA,Townhouse,420000
May,MOSTA,Townhouse,295000
May,MOSTA,penthouse,170000
May,MOSTA,townhouse,340000
May,MRIEĦEL,flat,145000
May,MRIEĦEL,maisonette,320000
May,MSIDA,maisonette,175000
May,MSIDA,apartments,
May,MSIDA,House,
May,MSIDA,apartment,140000
May,MSIDA,Apartment,100000
May,MSIDA,penthouse,145000
May,MSIDA,,
May,MSIDA,apartment,135000
May,MSIDA,apartments,
May,MSIDA,apartments,
May,MSIDA,,90000
May,MSIDA,maisonette,500000
May,MSIDA,apartment,145000
May,MSIDA,apartments,106000
May,MSIDA,apartment,175000
May,MTARFA,house,320000
May,NAXXAR,villa,400000
May,NAXXAR,Apartment,140000
May,NAXXAR,townhouse,290000
May,NAXXAR,Bungalow,
May,NAXXAR,character,710000
May,NAXXAR,character,361000
May,NAXXAR,maisonette,
May,NAXXAR,penthouse,130000
May,PACEVILLE,apartment,175000
May,PACEVILLE,,290000
May,PAOLA,,90000
May,PAOLA,apartments,107000
May,PAOLA,penthouse,200000
May,PAOLA,apartment,87000
May,PEMBROKE,maisonette,215000
May,PEMBROKE,Maisonette,215000
May,PEMBROKE,maisonette,215000
May,PORTOMASO,apartment,900000
May,PORTOMASO,apartment,794000
May,QAWRA,apartment,125000
May,QAWRA,penthouse,150000
May,QAWRA,apartment,97000
May,QAWRA,apartment,129000
May,QAWRA,apartment,88000
May,QAWRA,maisonette,123000
May,QAWRA,apartment,110000
May,QAWRA,apartment,105000
May,QAWRA,maisonette,165000
May,QAWRA,penthouse,475000
May,QAWRA,penthouse,175000
May,QAWRA,apartment,97000
May,QAWRA,apartment,175000
May,QORMI,,
May,QORMI,apartments,136000
May,QORMI,Plot,237000
May,QORMI,house,120000
May,QORMI,penthouse,95000
May,QRENDI,house,150000
May,QRENDI,character,389000
May,RABAT,,39500
May,RABAT,,
May,RABAT,character,
May,RABAT,apartment,155000
May,RABAT,,113000
May,RABAT,maisonette,212000
May,RABAT,maisonette,190000
May,SAN ĠWANN,apartment,155000
May,SAN ĠWANN,apartment,123000
May,SAN ĠWANN,apartment,144000
May,SAN ĠWANN,house,345000
May,SAN ĠWANN,apartment,120000
May,SAN ĠWANN,apartment,143500
May,SAN PAWL,villa,690000
May,SAN PAWL,Apartment,136000
May,SAN PAWL,villa,
May,SAN PAWL,villa,590000
May,SAN PAWL,villa,690000
May,SENGLEA,maisonettes,350000
May,SENGLEA,apartment,365000
May,SIĠĠIEWI,character,
May,SIĠĠIEWI,Maisonette,182000
May,SIĠĠIEWI,house,240000
May,SIĠĠIEWI,penthouse,130000
May,SIĠĠIEWI,apartment,164000
May,SIĠĠIEWI,apartments,
May,SLIEMA,Apartment,
May,SLIEMA,apartment,445000
May,SLIEMA,apartment,640000
May,SLIEMA,apartment,660000
May,SLIEMA,,44900
May,SLIEMA,apartment,300000
May,SLIEMA,penthouse,293
May,SLIEMA,apartment,160000
May,SLIEMA,apartment,385000
May,SLIEMA,apartment,333000
May,SLIEMA,apartments,249500
May,SLIEMA,apartment,445000
May,SLIEMA,townhouse,
May,SLIEMA,apartment,650000
May,SLIEMA,penthouse,265000
May,SLIEMA,apartment,330000
May,SLIEMA,townhouse,340000
May,SLIEMA,penthouse,339200
May,SLIEMA,penthouse,260000
May,SLIEMA,apartment,320000
May,SLIEMA,apartment,750000
May,SLIEMA,penthouse,540000
May,SLIEMA,,260000
May,SLIEMA,,250000
May,SLIEMA,Penthouse,398600
May,SLIEMA,apartment,600000
May,SLIEMA,apartment,600000
May,SLIEMA,apartment,725000
May,SLIEMA,penthouse,650000
May,SLIEMA,apartment,450000
May,SLIEMA,apartment,200000
May,SLIEMA,apartment,325000
May,SLIEMA,Townhouse,380000
May,SLIEMA,apartment,200000
May,SLIEMA,,98000
May,ST JULIANS,,
May,ST JULIANS,apartment,175000
May,ST JULIANS,apartments,483000
May,ST JULIANS,apartment,325000
May,ST JULIANS,penthouse,259000
May,ST JULIANS,penthouse,265000
May,ST JULIANS,apartment,185000
May,ST JULIANS,apartment,
May,ST JULIANS,apartment,239000
May,ST JULIANS,penthouse,345000
May,ST JULIANS,apartment,331
May,ST JULIANS,apartment,225000
May,ST JULIANS,penthouse,530000
May,ST JULIANS,Maisonette,356000
May,ST JULIANS,Penthouse,350000
May,ST JULIANS,apartment,425000
May,ST JULIANS,apartment,300000
May,ST JULIANS,apartment,170000
May,ST JULIANS,townhouse,1500000
May,ST JULIANS,apartment,300000
May,ST JULIANS,apartment,175000
May,ST PAUL,apartment,116500
May,ST PAUL,penthouse,290000
May,ST PAUL,penthouse,300000
May,ST PAUL,townhouse,195000
May,ST PAUL,apartment,110000
May,ST PAUL,,75000
May,ST PAUL,,95000
May,ST PAUL,penthouse,128000
May,ST PAUL,maisonette,75000
May,ST PAUL,Penthouse,280000
May,ST PAUL,Penthouse,298000
May,ST VENERA,apartment,115000
May,ST VENERA,maisonette,125000
May,ST VENERA,Apartment,123000
May,ST VENERA,maisonette,189000
May,ST VENERA,apartment,90000
May,ST VENERA,character,222000
May,ST VENERA,,39600
May,ST VENERA,Townhouse,139000
May,ST VENERA,apartment,120000
May,SWATAR,maisonettes,92500
May,SWATAR,maisonette,170000
May,SWIEQI,apartment,190000
May,SWIEQI,house,435000
May,SWIEQI,maisonette,195000
May,SWIEQI,maisonette,200000
May,SWIEQI,house,365000
May,TA,apartment,170000
May,TA,apartment,250000
May,TA,apartment,165000
May,TA,apartment,700000
May,TAL IBRAĠ,Bungalow,1250000-
May,TAL IBRAĠ,bungalow,
May,TAL IBRAĠ,maisonette,320000
May,TAL IBRAĠ,maisonette,245000
May,TAL IBRAĠ,bungalow,1500000
May,TAL IBRAĠ,maisonette,94500
May,TARXIEN,maisonette,190000
May,TARXIEN,apartment,85000
May,TARXIEN,plot,320000
May,TARXIEN,apartment,95000
May,TARXIEN,penthouse,95500
May,TARXIEN,townhouse,139000
May,TARXIEN,apartment,799000
May,TIGNÉ,apartment,965000
May,TIGNÉ,,600000
May,TIGNÉ,apartment,
May,VALLETTA,Apartment,
May,VALLETTA,,180
May,VALLETTA,house,620000
May,VALLETTA,penthouse,670000
May,VALLETTA,penthouse,690000
May,VALLETTA,,265000
May,VALLETTA,Shop,295000
May,VALLETTA,apartment,
May,VALLETTA,Townhouse,360000
May,VALLETTA,apartments,360000
May,VALLETTA,house,480000
May,VALLETTA,apartments,
May,VALLETTA,townhouse,245000
May,VICTORIA,bungalow,
May,VITTORIOSA,house,
May,XEMXIJA,apartment,112000
May,XEMXIJA,apartment,307000
May,XEMXIJA,,
May,XEMXIJA,apartment,525000
May,XGĦAJRA,house,86000
May,XGĦAJRA,townhouse,65000
May,ŻABBAR,,
May,ŻABBAR,townhouse,155000
May,ŻABBAR,apartment,143000
May,ŻABBAR,apartment,101000
May,ŻABBAR,apartment,130000
May,ŻABBAR,house,267000
May,ŻEBBUĠ,townhouse,210000
May,ŻEBBUĠ,apartment,155000
May,ŻEBBUĠ,Penthouse,136500
May,ŻEBBUĠ,house,260000
May,ŻEBBUĠ,character,268000
May,ŻEJTUN,maisonette,80000
May,ŻEJTUN,house,210000
May,ŻEJTUN,maisonette,171500
May,ŻEJTUN,Townhouse,140000
May,ŻURRIEQ,character,185700
May,ŻURRIEQ,apartment,105000
May,ŻURRIEQ,apartment,80000
May,ŻURRIEQ,house,270000
May,ATTARD,maisonette,130000
May,BALZAN,apartment,150000
May,FGURA,penthouse,120000
May,GĦARGĦUR,apartment,145000
May,MELLIEĦA,house,250000
May,MOSTA,apartment,140000
May,MSIDA,apartment,153500
May,QRENDI,character,389000
May,RABAT,apartment,170000
May,SAN ĠWANN,apartment,120000
May,SLIEMA,penthouse,265000
May,ST VENERA,apartment,115000
May,ŻURRIEQ,penthouse,170000
May,BIRKIRKARA,character,325000
June,BALZAN,apartment,155000
June,COSPICUA,maisonette,
June,MARSASCALA,penthouse,146000
June,MELLIEĦA,apartment,120000
June,MĠARR,maisonette,159000
June,MOSTA,house,350000
June,MSIDA,maisonette,280000
June,NAXXAR,apartment,129000
June,QAWRA,maisonette,135000
June,QAWRA,penthouse,126000
June,SENGLEA,apartment,
June,SLIEMA,,130000
June,SLIEMA,maisonette,295000
June,SLIEMA,apartment,650000
June,ST VENERA,apartment,83500
June,XEMXIJA,apartment,110000
June,BURMARRAD,penthouse,186000
June,GOZO XAGĦRA,apartment,90000
June,GUARDAMANGIA,apartments,250000
June,MARSASCALA,apartments,300000
June,SLIEMA,maisonette,
June,TA,maisonette,165000
June,ŻABBAR,,420000
May,ATTARD,apartment,163000
May,ATTARD,apartment,215000
May,ATTARD,maisonette,220000
May,ATTARD,penthouse,280000
May,ATTARD,maisonette,275000
May,ATTARD,character,320000
May,ATTARD,apartment,176000
May,ATTARD,townhouse,
May,ATTARD,apartment,169000
May,ATTARD,apartment,130000
May,ATTARD,Maisonette,250000
May,ATTARD,maisonette,250000
May,ATTARD,character,
May,ATTARD,villa,385000
May,ATTARD,villa,515000
May,BAĦAR IĊ-ĊAGĦAQ,maisonette,430000
May,BAĦRIJA,,125000
May,BAĦRIJA,penthouse,350000
May,BAĦRIJA,apartment,121000
May,BALZAN,townhouse,510000
May,BALZAN,apartment,150000
May,BALZAN,townhouse,495000
May,BALZAN,apartment,79000
May,BALZAN,apartment,175000
May,BALZAN,maisonette,239000
May,BIRGUMA,penthouse,220000
May,BIRKIRKARA,apartment,119000
May,BIRKIRKARA,apartment,160000
May,BIRKIRKARA,penthouse,
May,BIRKIRKARA,penthouse,203000
May,BIRKIRKARA,Maisonette,158000
May,BIRKIRKARA,maisonette,163000
May,BIRKIRKARA,character,382000
May,BIRKIRKARA,apartment,116500
May,BIRKIRKARA,apartment,135000
May,BIRKIRKARA,,129000
May,BIRKIRKARA,apartment,95000
May,BIRKIRKARA,character,186000
May,BIRKIRKARA,apartments,145000
May,BIRKIRKARA,maisonette,160000
May,BIRKIRKARA,apartments,147000
May,BIRŻEBBUĠA,house,339000
May,BIRŻEBBUĠA,maisonette,130500
May,BIRŻEBBUĠA,maisonette,129000
May,BIRŻEBBUĠA,maisonette,122000
May,BLATA L,Apartment,85000
May,BUĠIBBA,apartment,189000
May,BUĠIBBA,apartments,115000
May,BUĠIBBA,penthouse,128000
May,BUĠIBBA,penthouse,128000
May,BURMARRAD,flat,110000
May,COSPICUA,Maisonette,75000
May,DINGLI,maisonette,150000
May,DINGLI,Townhouse,349000
May,FGURA,penthouse,120000
May,FGURA,maisonette,169000
May,FGURA,apartment,105000
May,FGURA,maisonette,136000
May,FGURA,penthouse,106000
May,FGURA,maisonette,130000
May,FGURA,penthouse,185000
May,FGURA,apartments,59000
May,FGURA,,104000
May,FGURA,,14000
May,FORT,apartment,518000
May,GĦARGĦUR,apartment,145000
May,GĦARGĦUR,character,
May,GĦARGĦUR,apartment,175000
May,GĦARGĦUR,character,
May,GĦAXAQ,maisonette,
May,GOZO GĦARB,house,300000
May,GOZO MARSALFORN,flat,115000
May,GOZO NADUR,Apartment,150000
May,GOZO NADUR,farmhouse,310000
May,GOZO QALA,,116000
May,GOZO SAN,,195000
May,GOZO SAN,Plot,133000
May,GOZO SANNAT,apartment,58000
May,GOZO VICTORIA,,275000
May,GOZO VICTORIA,penthouse,144000
May,GOZO XAGĦRA,farmhouse,194000
May,GOZO XAGĦRA,,145000
May,GOZO XLENDI,apartment,197000
May,GOZO ŻEBBUĠ,townhouse,235000
May,GOZO ŻEBBUĠ,apartment,105000
May,GOZO Large,Apartment,195000
May,GOZO Quietly,farmhouse,160000
May,GOZO Shell,maisonette,65000
May,GUARDAMANGIA,,26000
May,GUARDAMANGIA,plot,210000
May,GUARDAMANGIA,apartment,106000
May,GUARDAMANGIA,maisonette,125000
May,GUDJA,house,265000
May,GUDJA,apartments,88000
May,GŻIRA,Penthouse,160000
May,GŻIRA,apartment,95000
May,GŻIRA,apartment,185000
May,GŻIRA,apartments,550000
May,GŻIRA,apartments,
May,GŻIRA,apartment,120000
May,GŻIRA,apartment,185000
May,GŻIRA,flat,125000
May,GŻIRA,penthouse,190000
May,ĦAMRUN,Apartment,68000
May,ĦAMRUN,townhouse,161000
May,IKLIN,bungalow,525000
May,IKLIN,Apartment,170000
May,IKLIN,Bungalow,560000
May,IKLIN,Bungalow,1250000
May,IKLIN,plot,560000
May,IKLIN,maisonette,215000
May,IKLIN,maisonette,145000
May,KALKARA,house,150000
May,KAPPARA,villa,550000
May,KAPPARA,apartment,137000
May,KIRKOP,house,200000
May,KIRKOP,house,238000
May,LIJA,bungalow,
May,LIJA,villa,670000
May,LIJA,apartment,190000
May,LIJA,Maisonette,150000
May,LIJA,townhouse,650000
May,LUQA,apartment,104822
May,MADLIENA,villa,
May,MADLIENA,villa,
May,MADLIENA,villa,1180000
May,MADLIENA,villa,1094000
May,MANIKATA,apartment,164000
May,MANIKATA,maisonette,315000
May,MANIKATA,house,320000
May,MARSA,apartments,
May,MARSASCALA,apartment,90000
May,MARSASCALA,maisonette,127000
May,MARSASCALA,apartment,109000
May,MARSASCALA,apartment,220000
May,MARSASCALA,apartment,114000
May,MARSASCALA,apartment,140000
May,MARSASCALA,apartment,120000
May,MARSASCALA,maisonette,110000
May,MARSASCALA,apartment,102000
May,MARSASCALA,apartment,62000
May,MARSASCALA,apartment,135000
May,MARSASCALA,apartment,130000
May,MARSASCALA,apartment,123700
May,MARSASCALA,apartment,105000
May,MARSASCALA,apartment,65000
May,MARSASCALA,apartment,235000
May,MARSASCALA,bungalow,1400000
May,MARSASCALA,maisonette,200000
